person_id,gender,bdate,home_precinct
226,F,1981-02-20,69
228,M,1966-08-11,41
229,F,1987-12-18,36
231,M,1973-10-17,64
232,F,1981-09-16,39
233,M,1981-06-05,9
234,M,1993-04-02,68
236,M,1985-03-04,14
238,M,1977-03-13,60
239,M,1981-02-10,61
240,F,1989-03-06,47
241,M,1968-12-22,48
242,male,1980-11-20,48
243,M,1984-08-31,39
244,M,1983-09-25,22
245,F,1986-01-19,76
247,M,1982-08-22,49
249,M,1991-03-02,48
250,M,1975-07-21,34
251,male,1985-07-06,16
253,M,1992-09-15,1
257,M,1980-12-03,58
259,M,1989-04-07,28
260,M,1981-07-01,35
261,M,1973-07-22,8
262,M,1957-03-10,8
264,F,1978-08-05,11
265,M,1995-07-17,39
266,M,1987-01-08,12
267,F,1988-11-13,68
268,F,1986-08-28,75
269,M,1974-09-15,75
271,M,1972-11-03,27
272,M,1973-06-08,48
273,M,1987-09-30,60
274,M,1973-02-05,49
279,M,1978-07-19,46
280,M,1978-01-26,68
281,male,1981-06-05,1
282,F,1981-06-12,34
283,M,1986-07-15,46
284,M,1988-03-04,57
286,M,1984-09-10,33
287,M,1971-03-13,28
288,F,1973-07-13,45
289,F,1990-08-29,38
291,M,1972-05-01,58
292,M,1991-02-17,34
293,M,1986-06-20,27
294,M,1980-12-01,1
295,F,1988-03-19,19
296,male,1968-12-10,27
299,M,1976-05-09,71
300,M,1985-10-03,39
302,F,1983-09-20,39
303,M,1970-07-18,68
304,M,1987-07-19,34
305,M,1981-07-16,62
306,M,1960-09-27,9
307,M,1980-11-30,42
309,M,1986-02-04,2
310,M,1979-10-30,4
311,M,2001-03-17,66
312,M,1972-11-25,46
314,M,1980-06-19,2
315,M,1999-12-29,47
317,M,1982-05-02,74
318,M,1968-09-04,2
320,M,1993-04-10,31
321,M,1980-09-25,32
323,M,1975-11-09,69
324,M,1992-01-27,39
325,M,1988-09-20,32
327,M,1991-10-01,26
329,F,1996-12-08,63
330,M,1993-03-27,67
331,M,1984-02-28,14
332,M,1977-01-19,36
333,M,1969-05-07,9
334,F,1993-02-28,73
335,M,1964-07-28,65
336,M,1992-12-29,28
340,M,1973-09-23,36
341,M,1973-01-01,48
342,male,1987-08-23,6
343,M,1986-08-03,44
344,M,1991-10-27,57
346,M,1983-12-26,53
348,male,1979-02-04,70
350,M,1968-03-28,38
351,M,1986-07-31,26
354,M,1987-07-16,32
355,M,1983-02-11,1
356,M,1982-11-14,25
357,M,1988-04-09,8
359,F,1975-07-04,34
360,M,1990-02-17,26
361,M,1990-02-13,72
362,female,1993-12-08,57
363,M,1969-12-14,47
365,M,1984-02-06,73
367,M,1979-06-24,73
368,M,1973-02-15,58
369,F,1978-09-12,3
371,M,1992-08-17,66
372,male,1988-04-18,58
373,F,1965-12-19,28
374,F,1989-09-25,26
375,M,1968-07-15,49
376,F,1993-10-05,63
377,M,1989-10-15,64
379,M,1984-06-30,1
380,M,1982-09-28,72
381,M,1992-06-24,69
382,M,1987-09-22,2
383,male,1984-04-09,1
384,M,1980-07-27,72
385,M,1983-03-05,44
387,M,1988-10-18,37
388,male,1988-03-30,4
389,M,1984-09-22,2
390,M,1984-07-26,28
391,male,1979-12-20,44
393,M,1989-01-31,76
394,M,1989-10-15,1
395,M,1991-09-30,71
397,F,1984-11-06,53
399,M,1986-07-24,6
400,M,1989-02-07,77
401,F,1993-01-08,18
402,M,1988-02-08,65
403,M,1979-11-30,67
404,M,1984-06-24,65
406,M,1973-01-23,46
407,F,1983-07-09,42
409,F,1983-10-25,56
410,F,1984-09-14,66
411,M,1980-07-25,53
413,F,1980-08-29,7
415,M,1978-04-21,16
417,M,1977-02-21,12
418,M,1989-03-06,76
419,F,1974-02-05,73
421,M,1992-08-21,25
422,M,1987-04-02,68
423,male,1983-02-14,76
424,F,1988-06-13,15
426,M,1986-11-12,73
427,M,1988-03-18,61
428,M,1991-02-13,12
430,F,1986-03-09,53
431,M,1991-07-11,66
432,M,1977-02-22,35
433,M,1983-09-26,19
434,F,1982-11-14,60
435,M,1972-02-03,55
436,M,1984-10-25,18
437,M,1979-12-29,9
438,M,1971-02-13,36
439,M,1968-11-16,3
440,F,1969-09-13,41
441,M,1983-09-02,1
444,M,1990-03-21,36
445,M,1990-11-23,64
447,M,1981-11-08,3
448,female,1996-03-24,72
449,male,1983-08-29,11
451,M,1978-07-29,34
454,F,1986-03-26,50
455,M,1989-05-17,57
457,M,1978-07-03,69
458,M,1978-10-02,32
459,M,1992-12-01,75
460,M,1985-05-08,39
461,M,1973-10-21,20
462,M,1984-02-02,64
464,M,1977-12-20,48
465,female,1970-07-06,46
466,M,1982-11-26,66
467,M,1978-08-03,15
469,male,1983-10-23,4
471,F,1994-05-24,62
473,F,1982-07-05,77
474,M,1984-08-16,71
475,M,1976-07-17,76
476,F,1992-09-23,75
477,M,1980-04-27,32
478,M,1975-04-01,40
479,M,1995-07-10,43
480,M,1988-07-02,65
481,male,1978-07-25,55
483,M,1987-01-31,13
485,M,1990-11-12,57
487,M,1985-11-17,39
488,F,1990-01-16,43
489,male,1989-10-17,68
491,male,1980-07-19,65
493,M,1989-12-20,39
494,M,1978-01-14,47
495,M,1992-05-13,15
496,M,1965-11-25,50
497,F,1982-01-09,58
498,M,1980-11-13,71
499,M,1980-08-01,77
500,M,1995-12-01,8
501,M,1985-10-25,47
504,M,1986-10-30,75
505,M,1988-12-15,68
506,M,1969-02-01,53
507,M,1983-08-08,66
508,M,1985-09-15,52
509,M,1994-01-07,41
510,M,1992-12-22,49
511,F,1983-09-16,67
512,F,1985-10-22,73
513,M,1977-07-25,8
514,F,1991-01-10,8
516,M,1987-04-18,61
517,M,1989-11-01,13
519,F,1984-11-04,60
520,M,1979-10-18,26
521,M,1983-10-19,53
522,F,1980-04-04,3
523,M,1983-06-04,9
524,M,1980-08-07,32
526,M,1992-12-27,69
527,M,1981-05-15,27
529,F,1978-08-13,32
532,M,1985-07-14,47
533,M,1982-12-20,7
534,F,1987-11-11,13
535,M,1987-09-22,1
536,M,1992-03-17,3
538,F,1971-10-06,38
539,M,1993-06-10,4
541,M,1987-10-15,62
543,M,1975-07-06,46
544,F,1976-02-04,43
545,M,1969-01-13,46
546,M,1965-11-05,47
547,M,1993-09-15,26
548,M,1978-11-21,71
550,M,1982-07-21,28
551,M,1973-12-10,4
552,M,1991-01-27,22
553,M,1980-02-22,69
556,M,1967-07-03,55
557,M,1981-07-17,72
558,M,1989-01-16,58
561,M,1986-12-03,71
562,M,1984-06-05,62
563,M,1966-11-13,47
564,F,1964-12-09,60
565,F,1977-09-29,37
566,M,1971-02-12,7
568,M,1986-11-10,2
569,M,1973-02-02,47
570,M,1964-08-18,11
571,M,1986-05-02,26
572,M,1979-09-19,7
573,F,1982-04-19,46
574,M,1978-11-12,41
575,M,1972-07-11,36
576,M,1989-10-18,8
577,M,1982-06-06,48
578,M,1977-01-09,5
579,M,1997-02-20,28
581,female,1992-04-19,1
582,M,1990-05-17,71
583,F,1969-03-18,26
584,male,1980-12-18,14
585,M,1978-04-11,53
586,F,1963-01-29,16
587,M,1988-10-28,32
588,M,1987-01-24,66
589,M,1993-08-19,14
590,M,1989-07-09,16
591,M,1981-05-25,11
592,M,1989-10-04,41
594,M,1982-09-08,26
596,M,1988-05-01,72
597,M,1984-11-12,52
599,M,1967-08-04,58
603,M,1988-03-28,73
604,F,1984-08-19,53
605,M,1984-10-17,16
606,F,1974-03-30,38
607,male,1975-09-23,17
608,M,1985-06-12,75
609,F,1987-03-29,64
610,M,1994-10-14,58
611,M,1993-03-31,42
612,M,1968-10-26,8
613,M,1979-07-04,2
614,M,1980-03-19,64
616,M,1985-07-03,36
617,M,1994-01-17,68
619,M,1994-08-24,68
621,M,1990-07-04,49
622,M,1995-08-13,33
623,M,1992-11-13,23
624,M,1989-01-23,40
625,M,1984-08-20,41
626,M,1971-08-13,13
627,F,1980-07-11,49
629,M,1984-12-25,4
630,M,1982-08-07,62
631,M,1981-12-22,69
632,M,1986-02-19,70
633,M,1971-07-22,11
634,M,1982-10-17,72
635,M,1981-12-16,62
636,M,1983-07-13,4
638,M,1982-04-05,4
641,M,1965-12-23,53
642,M,1982-01-04,23
643,male,1993-11-02,73
644,M,1980-03-05,73
645,male,1988-10-29,43
646,M,1993-08-09,60
647,M,1985-01-10,23
648,M,1994-06-03,26
649,M,1986-08-31,8
651,M,1971-03-02,16
652,F,1992-05-30,62
653,M,1986-07-27,27
655,M,1981-04-23,55
656,M,1982-09-05,53
657,M,1989-07-04,77
659,F,1986-09-23,64
660,M,1987-09-24,28
661,M,1978-07-06,2
662,male,1980-06-19,1
664,M,1990-06-04,16
665,female,1981-08-18,65
668,F,1985-07-03,19
669,M,1975-07-05,31
670,M,1975-08-04,26
672,M,1983-11-27,32
674,M,1970-09-25,41
676,M,1970-08-23,62
677,M,1984-12-07,69
678,M,1986-11-26,16
679,M,1972-10-01,19
681,M,1983-04-22,1
682,F,1980-07-30,4
683,F,1981-06-16,37
684,M,1993-06-19,4
685,M,1987-09-23,38
686,M,1977-10-16,14
687,M,1985-02-15,15
689,M,1981-06-07,49
690,M,1994-03-29,33
691,M,1983-03-14,57
692,M,1992-07-29,75
693,M,1981-08-08,15
695,M,1979-04-07,72
696,M,1993-04-26,39
697,M,1992-03-16,34
698,M,1990-01-12,3
699,M,1995-02-05,65
700,F,1982-07-29,58
701,M,1985-10-01,77
702,M,1982-09-26,61
703,M,1996-12-15,64
704,M,1967-02-19,65
708,M,1985-09-25,15
710,M,1986-05-05,49
711,F,1972-10-20,32
712,M,1979-08-19,49
714,M,1982-06-28,41
715,F,1987-12-27,7
716,M,1971-09-11,70
718,F,1995-03-17,14
720,M,1985-04-28,16
721,M,1974-02-02,3
722,M,1990-08-28,76
723,M,1985-11-06,3
724,M,1982-09-24,16
725,M,1964-11-12,64
727,M,1988-01-19,41
728,female,1989-11-12,5
729,M,1988-02-21,75
730,M,1984-08-26,38
731,M,1978-09-16,50
733,M,1983-03-20,27
734,M,1986-01-11,53
735,M,1985-01-30,65
737,M,1978-07-15,65
738,M,1952-05-19,47
739,male,1976-09-23,73
742,M,1979-05-18,4
743,M,1990-03-25,37
744,F,1972-12-30,22
745,M,1985-10-26,41
746,M,1987-09-27,62
747,M,1974-03-27,49
748,M,1995-07-30,69
749,M,1979-09-19,27
750,F,1970-10-13,26
751,M,1978-08-12,28
752,F,1982-02-07,75
753,male,1976-04-25,14
755,M,1994-12-14,9
756,F,1974-11-11,26
757,M,1981-07-16,48
759,F,1993-10-07,48
760,M,1983-07-08,62
762,M,1994-02-04,40
763,M,1986-11-01,72
766,M,1982-04-23,2
767,F,1977-09-15,39
769,M,1991-03-02,38
771,F,1981-12-02,38
772,male,1987-04-29,68
775,M,1990-03-03,58
776,M,1990-11-01,49
777,M,1975-08-27,5
778,M,1969-11-16,8
779,F,1976-02-26,46
781,M,1995-02-13,2
782,M,1983-09-29,58
783,M,1995-03-24,27
785,M,1985-01-31,5
787,M,1981-08-26,35
789,male,1995-07-16,8
790,M,1986-03-27,64
792,M,1987-01-09,69
794,M,1979-10-28,4
796,M,1984-07-02,27
797,M,1982-04-06,77
798,M,1982-02-10,22
799,M,1982-06-27,15
801,M,1992-11-15,40
805,F,1982-08-16,72
806,F,1985-07-02,43
807,M,1990-04-16,28
808,M,1980-08-12,47
809,M,1989-11-01,62
810,male,1980-08-16,69
812,M,1988-07-29,56
813,M,1990-05-16,9
815,M,1990-04-06,46
816,M,1979-10-04,18
817,M,1976-07-12,55
818,M,1990-08-02,34
819,male,1981-07-15,8
820,M,1984-08-21,26
821,M,1989-02-21,16
822,F,1996-08-07,65
823,M,1977-11-19,42
824,M,1985-10-31,25
825,M,1979-08-12,27
826,M,1994-01-06,42
827,M,1988-08-07,49
828,M,1986-01-08,15
829,M,1979-05-04,31
830,M,1978-08-25,52
832,M,1982-09-05,65
833,F,1984-07-14,72
834,M,1981-07-01,4
835,M,1984-03-11,22
836,M,1983-08-29,53
837,M,1994-06-24,60
838,female,1993-07-15,26
840,male,1994-04-12,68
841,M,1993-09-23,1
842,M,1987-11-06,70
844,M,1987-03-08,6
845,M,1976-03-19,66
846,M,1981-06-16,53
849,F,1978-04-10,35
851,M,1986-04-24,42
852,M,1982-08-18,65
854,M,1987-11-23,73
855,M,1976-08-08,77
856,M,1988-09-26,65
858,F,1993-07-02,44
859,M,1992-12-28,2
860,M,1982-01-17,40
863,M,1982-10-30,52
864,M,1995-05-08,62
865,M,1976-05-12,43
866,M,1991-08-23,42
867,M,1989-01-29,5
868,M,1980-08-13,39
870,F,1975-08-23,46
871,M,1978-10-04,49
872,M,1988-08-06,42
874,M,1993-08-09,1
875,M,1978-01-22,28
876,F,1976-12-07,65
877,M,1977-12-03,66
880,female,1982-11-16,69
881,M,1973-04-08,59
882,male,1989-09-15,27
883,F,1987-12-12,25
884,F,1982-03-13,31
885,M,1985-08-21,5
886,male,1985-09-30,75
888,M,1985-01-24,58
889,M,1982-02-08,47
890,F,1986-09-02,8
891,M,1991-02-10,68
892,M,1968-11-02,47
893,M,1988-01-04,1
894,M,1992-12-02,4
897,F,1989-02-12,48
899,M,1994-12-17,65
902,M,1975-03-03,33
905,F,1990-06-05,73
906,M,1979-03-10,70
908,F,1987-03-23,4
909,M,1981-12-29,47
911,M,1975-10-05,69
912,M,1984-07-27,41
914,M,1975-02-11,62
916,M,1993-08-08,61
917,M,1991-10-25,60
918,M,1984-07-31,61
919,M,1987-08-03,75
920,M,1979-01-10,75
921,M,1979-10-02,12
923,M,1993-11-08,1
924,F,1982-02-20,61
925,M,1973-08-17,61
926,M,1987-10-02,19
928,M,1988-07-16,41
930,M,1984-08-25,1
931,F,1992-10-09,61
932,M,1997-11-12,8
933,M,1986-03-25,9
934,M,1981-07-02,40
935,female,1986-06-11,41
937,F,1983-09-07,46
938,M,1986-01-01,68
940,M,1979-09-13,36
941,M,1994-08-27,15
942,M,1969-01-20,12
943,M,1995-03-09,60
944,M,1986-04-04,28
945,M,1984-12-29,27
947,M,1991-04-12,9
948,M,1969-08-26,9
949,M,1994-10-04,3
950,M,1977-01-20,43
952,M,1979-12-17,45
953,M,1997-12-02,52
956,F,1979-09-19,31
958,M,1981-01-05,42
959,M,1985-07-16,10
960,M,1990-08-03,72
961,M,1950-09-03,8
963,M,1987-11-28,48
964,M,1971-07-18,17
965,M,1986-08-29,6
966,male,1976-06-05,9
967,M,1984-09-09,26
968,M,1992-03-13,75
969,M,1992-03-31,34
971,M,1991-10-14,67
972,M,1985-03-16,23
973,M,1989-03-24,48
974,M,1979-05-15,52
975,M,1981-12-05,28
976,F,1981-01-16,76
977,M,1985-02-02,64
978,female,1986-11-06,49
979,M,1983-10-27,75
980,M,1989-03-05,13
981,M,1982-07-15,48
982,male,1970-04-28,6
983,M,1977-10-06,39
984,M,1996-01-11,14
985,F,1976-08-20,27
986,M,1992-10-21,9
989,M,1980-01-25,27
990,M,1976-02-20,49
992,F,1985-06-09,1
994,male,1981-06-17,27
997,M,1985-01-20,41
998,M,1990-05-31,15
1000,M,1982-10-01,43
1001,M,1988-06-15,9
1003,M,1982-07-18,28
1004,M,1987-04-17,72
1005,M,1994-07-11,58
1006,male,1991-05-03,43
1007,F,1985-07-24,47
1008,F,1981-09-05,41
1010,F,1969-01-23,61
1011,M,1990-11-30,4
1012,F,1987-02-12,5
1013,M,1992-04-15,75
1015,F,1980-08-13,61
1018,M,1980-07-03,66
1020,M,1953-07-14,36
1021,M,1980-07-17,69
1022,M,1980-11-29,38
1023,male,1983-11-24,4
1024,F,1990-06-28,43
1025,F,1987-01-08,5
1026,F,1979-08-09,60
1027,M,1979-09-27,69
1028,M,1986-07-31,77
1029,M,1987-08-27,19
1032,M,1991-01-31,31
1033,M,1969-11-19,47
1034,F,1979-11-30,2
1035,M,1975-04-17,44
1036,M,1987-12-08,2
1037,M,1988-01-09,36
1039,M,1983-08-23,76
1041,M,1987-02-17,8
1042,M,1995-03-04,61
1043,F,1990-10-18,19
1044,F,1967-12-01,65
1045,M,1969-03-23,27
1046,M,1977-09-28,68
1047,M,1974-11-14,13
1048,M,1981-12-28,53
1051,M,1978-05-15,27
1052,M,1978-09-10,58
1053,M,1970-09-13,73
1054,M,1980-07-16,3
1055,M,1985-03-17,23
1059,M,1986-02-21,8
1060,male,1975-06-14,7
1062,M,1993-12-23,35
1063,M,1980-03-08,1
1064,M,1983-11-11,2
1065,M,1968-08-26,15
1066,M,1984-10-20,58
1067,M,1973-01-10,65
1068,F,1983-03-18,64
1070,M,1989-04-19,72
1071,M,1972-11-13,42
1072,F,1985-09-29,75
1073,M,1979-09-24,9
1074,M,1985-01-24,65
1077,M,1981-02-16,27
1079,F,1980-11-30,40
1080,M,1981-11-12,75
1081,M,1981-02-20,56
1082,F,1974-12-29,70
1083,M,1979-04-08,9
1084,F,1979-01-12,32
1086,M,1990-07-24,2
1087,male,1981-12-22,62
1088,M,1982-05-02,62
1089,M,1987-05-13,50
1090,M,1977-12-03,8
1091,M,1986-01-07,42
1093,male,1972-01-03,73
1094,M,1984-06-29,66
1095,male,1985-02-06,42
1096,M,1984-08-02,31
1098,M,1974-04-18,27
1099,M,1986-10-24,58
1100,F,1971-03-21,18
1101,M,1991-08-08,25
1102,F,1985-02-13,44
1104,M,1976-08-11,24
1105,M,1982-04-17,38
1106,M,1968-07-28,40
1107,M,1961-09-30,4
1108,M,1990-02-27,48
1109,M,1982-07-01,21
1110,F,1991-09-27,75
1112,M,1979-09-01,15
1113,F,1983-01-09,1
1114,F,1979-01-18,24
1115,M,1969-07-15,27
1116,M,1980-06-01,59
1119,M,1962-10-15,77
1120,M,1967-11-22,1
1123,M,1993-10-01,48
1124,M,1952-09-06,35
1125,M,1988-08-12,38
1126,F,1988-11-13,39
1127,male,1981-04-11,34
1130,M,1982-09-28,3
1131,M,1983-12-05,29
1132,F,1972-07-28,62
1133,M,1985-12-28,40
1135,M,1979-09-24,2
1136,M,1984-12-19,69
1137,M,1970-02-14,62
1138,M,1994-02-23,31
1143,F,1960-12-05,65
1145,M,1993-08-29,38
1146,M,1987-01-29,18
1147,M,1990-11-08,49
1148,M,1990-04-03,76
1149,M,1989-08-20,49
1150,M,1985-12-31,49
1151,M,1991-11-10,15
1152,M,1971-10-16,33
1154,M,1993-06-05,73
1155,M,1989-11-25,41
1156,M,1983-12-08,29
1157,M,1989-07-25,75
1158,F,1983-10-01,75
1160,M,1978-07-03,36
1161,M,1978-01-08,70
1162,M,1975-05-12,68
1163,M,1980-09-24,43
1164,F,1977-06-08,28
1166,M,1994-05-23,76
1167,M,1977-05-09,27
1168,M,1980-08-14,49
1171,M,1982-08-10,32
1172,F,1986-08-23,66
1173,M,1978-12-01,13
1174,M,1982-07-28,49
1177,F,1977-09-18,76
1178,M,1988-11-03,58
1181,M,1976-07-20,58
1182,F,1985-05-02,49
1184,M,1996-11-28,68
1185,M,1973-12-13,73
1186,M,1981-10-22,56
1187,M,1973-07-18,72
1188,M,1986-05-03,11
1189,F,1998-03-26,48
1191,M,1975-10-02,43
1192,M,1986-08-27,15
1193,M,1974-01-17,70
1194,M,1985-09-16,61
1195,male,1983-02-25,3
1196,male,1975-11-04,5
1197,M,1989-08-21,66
1199,M,1985-02-03,68
1200,M,1989-04-13,3
1201,M,1997-01-17,48
1202,M,1997-01-09,41
1203,M,1982-07-19,31
1206,F,1985-02-15,39
1207,male,1987-02-20,75
1208,M,1982-04-22,46
1209,M,1983-08-21,21
1210,M,1982-04-08,64
1211,M,1982-01-24,68
1213,F,1983-08-19,40
1214,M,1996-12-16,44
1216,F,1989-03-08,58
1218,M,1990-11-06,6
1219,M,1987-03-05,15
1220,M,1982-04-21,19
1221,M,1978-09-13,62
1222,M,1983-03-18,73
1223,F,1977-11-06,48
1224,M,1991-10-08,36
1225,M,1981-08-03,28
1227,M,1984-03-07,77
1229,M,1987-08-02,33
1230,F,1982-03-20,43
1232,M,1978-12-18,23
1233,M,1972-07-16,24
1234,F,1979-07-02,56
1235,F,1983-01-13,38
1236,M,1979-12-16,66
1238,M,1961-07-03,55
1239,M,1968-05-22,61
1240,F,1986-04-03,49
1241,M,1959-08-20,3
1243,F,1983-10-19,43
1245,M,1980-07-27,57
1246,M,1980-12-05,57
1248,F,1995-10-16,41
1249,F,1958-11-21,27
1251,M,1981-12-24,61
1252,M,1993-09-14,60
1254,M,1983-08-09,46
1255,M,1983-04-03,64
1256,F,1991-01-10,69
1257,M,1996-02-15,47
1259,M,1964-11-23,64
1260,F,1980-12-13,56
1261,M,1984-12-03,46
1262,F,1984-10-24,68
1263,M,1998-02-02,31
1264,F,1977-05-03,67
1265,M,1972-07-11,64
1266,M,1991-01-07,7
1267,male,1986-10-07,73
1268,M,1989-04-14,47
1269,F,1986-01-09,59
1271,male,1982-07-09,72
1272,M,1982-06-18,45
1275,M,1989-08-22,68
1277,M,1977-07-13,25
1278,F,1993-07-05,73
1279,F,1981-11-14,76
1281,M,1995-11-12,43
1283,M,1964-07-29,40
1284,M,1984-09-17,11
1285,M,1987-07-02,68
1286,M,1968-12-01,47
1287,M,1971-01-05,48
1288,M,1990-12-13,3
1289,M,1987-03-17,48
1291,M,1987-03-14,60
1292,M,1992-12-18,3
1293,M,1989-11-19,43
1294,M,1980-05-05,55
1295,M,1986-12-03,36
1297,male,1997-08-20,48
1298,M,1989-03-31,9
1300,M,1989-09-16,68
1301,M,1979-10-05,43
1302,M,1980-11-04,56
1305,M,1979-08-08,13
1306,M,1976-10-10,36
1307,F,1967-09-15,64
1308,M,1987-09-12,40
1309,M,1981-12-02,65
1310,M,1977-08-13,33
1311,M,1983-08-11,49
1312,male,1983-03-18,70
1313,F,1989-07-21,39
1314,M,1960-08-13,3
1315,F,1976-09-08,43
1316,M,1982-11-24,65
1317,F,1990-01-12,39
1318,F,1993-11-23,70
1319,M,1990-10-10,64
1321,M,1996-03-07,16
1322,F,1987-10-16,60
1324,female,1982-03-15,2
1325,M,1983-12-13,53
1326,F,1987-07-21,11
1327,M,1982-04-05,32
1329,M,1992-09-07,14
1330,M,1981-10-14,49
1331,F,1993-06-10,18
1332,M,1981-08-22,60
1333,F,1986-12-07,50
1334,M,1970-07-09,33
1335,M,1976-06-27,32
1336,M,1984-08-29,2
1337,M,1992-12-30,70
1338,male,1992-01-24,62
1339,M,1971-07-24,57
1342,male,1991-09-25,69
1346,M,1985-03-03,27
1347,F,1994-11-11,39
1351,M,1985-10-28,13
1352,M,1984-09-15,49
1353,M,1990-01-06,2
1354,M,1994-04-23,8
1355,F,1976-01-05,24
1356,M,1978-12-23,77
1357,M,1972-02-09,71
1358,M,1987-05-06,19
1359,M,2000-11-18,4
1361,F,1981-09-03,27
1362,male,1992-01-26,62
1363,F,1980-08-15,66
1365,M,1992-09-30,34
1367,M,1991-10-08,53
1369,M,1984-01-18,73
1371,M,1968-03-05,35
1372,M,1981-12-12,8
1373,M,1984-02-20,74
1374,M,1987-12-12,55
1375,M,1983-10-02,49
1377,M,1965-03-06,40
1378,M,1988-01-15,29
1379,M,1980-10-26,72
1380,M,1977-09-01,13
1381,M,1980-07-11,35
1382,female,1966-10-01,73
1384,M,1968-06-30,1
1385,M,1984-12-20,43
1387,M,1980-11-15,40
1389,M,1979-05-20,36
1390,M,1985-05-28,69
1392,M,1988-10-23,36
